NAME	FEATURE CLASS	DESCRIPTION	PHONE NUMBER	E-MAIL ADDRESS	WEB ADDRESS	LONGITUDE	LATITUDE	USER
Zamek Namest na Hane Horni zamek, Hrad 1, IV,X so-ne 9-16, V-IX ut-ne 9-17+420585952184	USER_POI_PRIVATE	Zamek Namest na Hane Horni zamek, Hrad 1, IV,X so-ne 9-16, V-IX ut-ne 9-17+420585952184				170630790	495985570	Host
Zamek Lipnik nad Becvou, Bratrska 358/3+420581773763	USER_POI_PRIVATE	Zamek Lipnik nad Becvou, Bratrska 358/3+420581773763				175810210	495250260	Host
Zamek Blansko, Zamek 1/1+420516417221	USER_POI_PRIVATE	Zamek Blansko, Zamek 1/1+420516417221				166459950	493637410	Host
Zamek Blatna, Na Prikopech 375, IV,X so-ne 10-16, VI-IX ut-ne 10-16+420383422934	USER_POI_PRIVATE	Zamek Blatna, Na Prikopech 375, IV,X so-ne 10-16, VI-IX ut-ne 10-16+420383422934				138798350	494226860	Host
Zamek Brandys nad Orlici, Komenskeho 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Brandys nad Orlici, Komenskeho 1, nepristupnonenalezeno				162891010	499997710	Host
Zamek Sec, Chrudimska 1, pristupno prilezitostnenenalezeno	USER_POI_PRIVATE	Zamek Sec, Chrudimska 1, pristupno prilezitostnenenalezeno				156602600	498473620	Host
Zamek Kinskych Valasske Mezirici, Zamecka 3, muzeum, ut-ne 9-17+420571611764	USER_POI_PRIVATE	Zamek Kinskych Valasske Mezirici, Zamecka 3, muzeum, ut-ne 9-17+420571611764				179683650	494784480	Host
Zamek Zerotinu, Valasske Mezirici, Komenskeho 169/4a, pristupno prilezitostnenenalezeno	USER_POI_PRIVATE	Zamek Zerotinu, Valasske Mezirici, Komenskeho 169/4a, pristupno prilezitostnenenalezeno				179692710	494714460	Host
Zamek Zdechovice, Zdechovice 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Zdechovice, Zdechovice 1, nepristupnonenalezeno				154693750	500137450	Host
Zamek Chlum u Trebone, Chlum u Trebone 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Chlum u Trebone, Chlum u Trebone 1, nepristupnonenalezeno				149319950	489602830	Host
Zamek Trebon, Zamek 115, IV,V,IX,X ut-ne 9-16, VI-VIII ut-ne 9-17+420384721193	USER_POI_PRIVATE	Zamek Trebon, Zamek 115, IV,V,IX,X ut-ne 9-16, VI-VIII ut-ne 9-17+420384721193				147694770	490030420	Host
Zamek Telc, namesti Zachariase z Hradce 1, IV,X ut-ne 10-15,V,IX ut-ne 10-16, VI ut-ne 9-16, VII,VIII ut-ne 9-17+420724343244	USER_POI_PRIVATE	Zamek Telc, namesti Zachariase z Hradce 1, IV,X ut-ne 10-15,V,IX ut-ne 10-16, VI ut-ne 9-16, VII,VIII ut-ne 9-17+420724343244				154512790	491853050	Host
Zamek Dobris, namesti Svobody 1, denne 8-16:30, leto 8-17:30+420318521240	USER_POI_PRIVATE	Zamek Dobris, namesti Svobody 1, denne 8-16:30, leto 8-17:30+420318521240				141788640	497818450	Host
Zamek Karlova Koruna, Chlumec nad Cidlinou, Prazska 1, IV-VI,IX,X so-ne 9-12,13-16, VII-VIII ut-ne 9-12,13-17+420495484519	USER_POI_PRIVATE	Zamek Karlova Koruna, Chlumec nad Cidlinou, Prazska 1, IV-VI,IX,X so-ne 9-12,13-16, VII-VIII ut-ne 9-12,13-17+420495484519				154513440	501588890	Host
Zamek Manetin, Manetin 1, IV,X  so-ne 10-16, V-IX ut-ne 10-16+420606666429	USER_POI_PRIVATE	Zamek Manetin, Manetin 1, IV,X  so-ne 10-16, V-IX ut-ne 10-16+420606666429				132324100	499914660	Host
Zamek Zakupy, Borska 1, IV,X so,ne 9-15, V-IX ut-ne 9-16+420487857278	USER_POI_PRIVATE	Zamek Zakupy, Borska 1, IV,X so,ne 9-15, V-IX ut-ne 9-16+420487857278				146436380	506872800	Host
Zamek Vizovice, Palackeho Namesti 376, IV-X so pouze 13-16, IV ne 10-16, V-VI ut-ne 10-17, VII,VIII ut-ne 10-17, IX ut-ne 10-16, X ne 10-16 - viz web+420420722611972	USER_POI_PRIVATE	Zamek Vizovice, Palackeho Namesti 376, IV-X so pouze 13-16, IV ne 10-16, V-VI ut-ne 10-17, VII,VIII ut-ne 10-17, IX ut-ne 10-16, X ne 10-16 - viz web+420420722611972				178504730	492197040	Host
Zamek Lany, Zamecka 2, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Lany, Zamecka 2, nepristupnonenalezeno				139562620	501238730	Host
Zamek Uhercice u Znojma, Uhercice 1, VI so-ne 9:30-17, VII-VIII ut-ne 9:30-17+420515298396	USER_POI_PRIVATE	Zamek Uhercice u Znojma, Uhercice 1, VI so-ne 9:30-17, VII-VIII ut-ne 9:30-17+420515298396				156334110	489145020	Host
Zamek Krasny Dvur, Krasny Dvur 1, IV so-ne 10-16, V, IX ut-ne 10-16, VI-VIII ut-ne 10-17, X so-ne 10-15+420415210004	USER_POI_PRIVATE	Zamek Krasny Dvur, Krasny Dvur 1, IV so-ne 10-16, V, IX ut-ne 10-16, VI-VIII ut-ne 10-17, X so-ne 10-15+420415210004				133704160	502515110	Host
Zamek Libochovice, namesti 5. kvetna 1, IV ut-ne 10-16, V, VI, IX ut-ne 9-17, VII-VII ut-ne 9-18, X so-ne 10-16+420416591443	USER_POI_PRIVATE	Zamek Libochovice, namesti 5. kvetna 1, IV ut-ne 10-16, V, VI, IX ut-ne 9-17, VII-VII ut-ne 9-18, X so-ne 10-16+420416591443				140436920	504052640	Host
Zamek Mnisek pod Brdy, namesti F. X. Svobody 1, ut-ne dle webu, VII-VII denne 10-15:50+420318590261	USER_POI_PRIVATE	Zamek Mnisek pod Brdy, namesti F. X. Svobody 1, ut-ne dle webu, VII-VII denne 10-15:50+420318590261				142582940	498681070	Host
Zamek Namest nad Oslavou, Namest nad Oslavou, Zamek 1, IV,X so-ne 9-15, V,VI,IX ut-ne 9-16, VII,VIII ut-ne 9-17+420568620201	USER_POI_PRIVATE	Zamek Namest nad Oslavou, Namest nad Oslavou, Zamek 1, IV,X so-ne 9-15, V,VI,IX ut-ne 9-16, VII,VIII ut-ne 9-17+420568620201				161628300	492087650	Host
Zamek Nebilovy, Nebilovy 1, IV,X so-ne 9-15, V,VI,IX ut-ne 9-16, VII,VIII ut-ne 9-17+420377917090	USER_POI_PRIVATE	Zamek Nebilovy, Nebilovy 1, IV,X so-ne 9-15, V,VI,IX ut-ne 9-16, VII,VIII ut-ne 9-17+420377917090				134307250	496299660	Host
Zamek Hruby Rohozec, Hruby Rohozec 1, IV,X ut-pa 10-15, so-ne 9-16, V-IX 9-17+420725181569	USER_POI_PRIVATE	Zamek Hruby Rohozec, Hruby Rohozec 1, IV,X ut-pa 10-15, so-ne 9-16, V-IX 9-17+420725181569				151573870	505982710	Host
Zamek Votice(novy), Nerudova 2nenalezeno	USER_POI_PRIVATE	Zamek Votice(novy), Nerudova 2nenalezeno				146418250	496373570	Host
Zamek Novy Hrad-Jimlin, Jimlin 220, IV,X po-pa 10-15; so-ne 9-16; V,IX denne 10-17; VI-VIII denne 9-17+420415696216	USER_POI_PRIVATE	Zamek Novy Hrad-Jimlin, Jimlin 220, IV,X po-pa 10-15; so-ne 9-16; V,IX denne 10-17; VI-VIII denne 9-17+420415696216				137503020	503195870	Host
Zamek Kostelec nad Orlici(novy), Komenskeho 1, (kveten,cerven,zari: so-ne 9-17)(cervenec,srpen: ut-ne 9-17)+420494323271	USER_POI_PRIVATE	Zamek Kostelec nad Orlici(novy), Komenskeho 1, (kveten,cerven,zari: so-ne 9-17)(cervenec,srpen: ut-ne 9-17)+420494323271				161997650	501226280	Host
Zamek Novy Stranov, Jizerni Vtelno 83, (VI-IX) ut-pa 10-16, (III-IX so-ne 10-17)+420731005123	USER_POI_PRIVATE	Zamek Novy Stranov, Jizerni Vtelno 83, (VI-IX) ut-pa 10-16, (III-IX so-ne 10-17)+420731005123				148558220	503726650	Host
Zamek Skvorec(novy), Smirickych 2, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Skvorec(novy), Smirickych 2, nepristupnonenalezeno				147347470	500458960	Host
Zamek Ratbor(novy), Komenskeho 40, hotel a restauracenenalezeno	USER_POI_PRIVATE	Zamek Ratbor(novy), Komenskeho 40, hotel a restauracenenalezeno				151544110	499773320	Host
Zamek Horovice(novy), Vrbnovska 22/2, IV,X so-ne 10-16, V,IX ut-ne 10-16, VI-VII 10-17+420311512479	USER_POI_PRIVATE	Zamek Horovice(novy), Vrbnovska 22/2, IV,X so-ne 10-16, V,IX ut-ne 10-16, VI-VII 10-17+420311512479				139087820	498376280	Host
Zamek Horovice(stary), Vrbnovska 27/5nenalezeno	USER_POI_PRIVATE	Zamek Horovice(stary), Vrbnovska 27/5nenalezeno				139066670	498382280	Host
Zamek Dacice(stary), Krajirova 27, mestsky urad+420384401211	USER_POI_PRIVATE	Zamek Dacice(stary), Krajirova 27, mestsky urad+420384401211				154376490	490807450	Host
Zamek Dacice(novy), Havlickovo namesti 85/I, IV,X so-ne 10-16, V,IX ut-ne 10-17, VI-VIII ut-ne 10-18+420384420246	USER_POI_PRIVATE	Zamek Dacice(novy), Havlickovo namesti 85/I, IV,X so-ne 10-16, V,IX ut-ne 10-17, VI-VIII ut-ne 10-18+420384420246				154316520	490795880	Host
Zamek Sychrov, Sychrov 1, denne 10-14, V-VIII denne 9-16:30+420482416011	USER_POI_PRIVATE	Zamek Sychrov, Sychrov 1, denne 10-14, V-VIII denne 9-16:30+420482416011				150889380	506262640	Host
Zamek Zvikovec, Zvikovec 1, nepristupno - Ustav socialni pecenenalezeno	USER_POI_PRIVATE	Zamek Zvikovec, Zvikovec 1, nepristupno - Ustav socialni pecenenalezeno				136891350	499551050	Host
Zamecky statek Ujezd nade Mzi, Ujezd nade Mzi 1+420724396671	USER_POI_PRIVATE	Zamecky statek Ujezd nade Mzi, Ujezd nade Mzi 1+420724396671				131950220	497883120	Host
Zamek Hlucin, Zamecka 286/4, tvrz prestavena na zamek, muzeum+420595041337	USER_POI_PRIVATE	Zamek Hlucin, Zamecka 286/4, tvrz prestavena na zamek, muzeum+420595041337				181854830	498963550	Host
Zamek Duchcov, Namesti Republiky 202/9, IV,X so-ne 10-16, V,IX ut-ne 10-16, VI-VIII ut-ne 10-17+420417835301	USER_POI_PRIVATE	Zamek Duchcov, Namesti Republiky 202/9, IV,X so-ne 10-16, V,IX ut-ne 10-16, VI-VIII ut-ne 10-17+420417835301				137446470	506022240	Host
Zamek Bucovice, Zamek 1, IV,X so-ne 9-15, V,VI,IX ut-ne 9-16, VII,VIII ut-ne 9-17+420517383135	USER_POI_PRIVATE	Zamek Bucovice, Zamek 1, IV,X so-ne 9-15, V,VI,IX ut-ne 9-16, VII,VIII ut-ne 9-17+420517383135				170014710	491493530	Host
Zamek Dolni Benesov, Hajecka 65, (nepristupno) - obecni uradnenalezeno	USER_POI_PRIVATE	Zamek Dolni Benesov, Hajecka 65, (nepristupno) - obecni uradnenalezeno				181154760	499167180	Host
Zamek Benesov nad Ploucnici, Zamecka 51, IV, X so,ne 10-16, V 10-17, VI-VIII 10-18, IX 10-17+420412586575	USER_POI_PRIVATE	Zamek Benesov nad Ploucnici, Zamecka 51, IV, X so,ne 10-16, V 10-17, VI-VIII 10-18, IX 10-17+420412586575				143111440	507424390	Host
Zamek Rajec nad Svitavou, Rajec-Jestrebi, Blanenska 1, IV,X so-ne 9-15, V-IX ut-ne 9-16+420723398968	USER_POI_PRIVATE	Zamek Rajec nad Svitavou, Rajec-Jestrebi, Blanenska 1, IV,X so-ne 9-15, V-IX ut-ne 9-16+420723398968				166439830	494093570	Host
Zamek Jansky Vrch, Javornik, Zamek 60, IV.,X. so,ne,sv 9-15, V.-VIII. ut-ne 9-16, IX. ut-ne 9-15+420584440286	USER_POI_PRIVATE	Zamek Jansky Vrch, Javornik, Zamek 60, IV.,X. so,ne,sv 9-15, V.-VIII. ut-ne 9-16, IX. ut-ne 9-15+420584440286				170001420	503897780	Host
Zamek Slatinany, Zamecky park 1, IV.,X. so,ne,sv 10-15, V.,IX. ut-pa 10-15, so,ne 10-16, VI. ut-ne 10-16, VII.,VIII. ut-ne 10-17+420724663680	USER_POI_PRIVATE	Zamek Slatinany, Zamecky park 1, IV.,X. so,ne,sv 10-15, V.,IX. ut-pa 10-15, so,ne 10-16, VI. ut-ne 10-16, VII.,VIII. ut-ne 10-17+420724663680				158109290	499191620	Host
Zamek Dolni Prim, Dolni Prim 1, nepristupny - obecni uradnenalezeno	USER_POI_PRIVATE	Zamek Dolni Prim, Dolni Prim 1, nepristupny - obecni uradnenalezeno				157056900	502392790	Host
Zamek Merklin u Prestic, Zamek 1, nepristupny - obecni urad+42037791279	USER_POI_PRIVATE	Zamek Merklin u Prestic, Zamek 1, nepristupny - obecni urad+42037791279				131999700	495603910	Host
Lovecky zamecek Diana, Klasicistni lovecky zamek Diana byl vybudovan na pudorysu rovnoramenneho krize, v interieru jsou malby a fresky Diany, bohyne lovu. Centralni jednoposchodovy pavilon je zastresen kupoli ukoncenou kovovym sedicim jelenem. Na zamek navazuje rozsahly anglicky park s exotickymi jehlicnany, tulipany, duby, cervenymi buky a jirovci.nenalezeno	USER_POI_PRIVATE	Lovecky zamecek Diana, Klasicistni lovecky zamek Diana byl vybudovan na pudorysu rovnoramenneho krize, v interieru jsou malby a fresky Diany, bohyne lovu. Centralni jednoposchodovy pavilon je zastresen kupoli ukoncenou kovovym sedicim jelenem. Na zamek navazuje rozsahly anglicky park s exotickymi jehlicnany, tulipany, duby, cervenymi buky a jirovci.nenalezeno				125958530	496293790	Host
Zamek Belcredi, Brno-Lisen, Pohankova+420544213238	USER_POI_PRIVATE	Zamek Belcredi, Brno-Lisen, Pohankova+420544213238				166971570	492050390	Host
Zamek Ctenice, Praha 9-Vinor, Bohdanecska 259, ut-ne 10-18+420286001366	USER_POI_PRIVATE	Zamek Ctenice, Praha 9-Vinor, Bohdanecska 259, ut-ne 10-18+420286001366				145640140	501493070	Host
Zamek Tyn nad Vltavou, namesti Miru 1, Mestske muzeum+420385772303	USER_POI_PRIVATE	Zamek Tyn nad Vltavou, namesti Miru 1, Mestske muzeum+420385772303				144211630	492237080	Host
Zamek Mikulovice, Mikulovice 141, nepristupny, faranenalezeno	USER_POI_PRIVATE	Zamek Mikulovice, Mikulovice 141, nepristupny, faranenalezeno				160939570	489553270	Host
Zamek Milesov, Velemin-Milesov 1, nepristupnynenalezeno	USER_POI_PRIVATE	Zamek Milesov, Velemin-Milesov 1, nepristupnynenalezeno				139363210	505401030	Host
Zamek Miletin, Na Parkani 1, pristupno prilezitostnenenalezeno	USER_POI_PRIVATE	Zamek Miletin, Na Parkani 1, pristupno prilezitostnenenalezeno				156784340	504046570	Host
Zamek Troja, Praha 7-Troja, U trojskeho zamku 1/4, IV-X ut-ne 10-18+420283851614	USER_POI_PRIVATE	Zamek Troja, Praha 7-Troja, U trojskeho zamku 1/4, IV-X ut-ne 10-18+420283851614				144128560	501164160	Host
Zamek Liben, Praha 8-Liben, U libenskeho zamku 1/2+420222805111	USER_POI_PRIVATE	Zamek Liben, Praha 8-Liben, U libenskeho zamku 1/2+420222805111				144714030	501076520	Host
Zamek Dablice, Praha 8-Dablice, U Parkanu 30/4nenalezeno	USER_POI_PRIVATE	Zamek Dablice, Praha 8-Dablice, U Parkanu 30/4nenalezeno				144850820	501483200	Host
Zamek Dolni Pocernice, Praha 9-Dolni Pocernice, Narodnich hrdinu 1, pristupno prilezitostnenenalezeno	USER_POI_PRIVATE	Zamek Dolni Pocernice, Praha 9-Dolni Pocernice, Narodnich hrdinu 1, pristupno prilezitostnenenalezeno				145791580	500884150	Host
Zamek Prace, Praha 10-Zabehlice, Pracska 147, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Prace, Praha 10-Zabehlice, Pracska 147, nepristupnonenalezeno				145072770	500526410	Host
Zamek Zabehlice, Praha 10-Zabehlice, Za potokem 46/2, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Zabehlice, Praha 10-Zabehlice, Za potokem 46/2, nepristupnonenalezeno				144956500	500513420	Host
Zamek Dolni Krc, Praha 4-Krc, V podzamci 1/6, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Dolni Krc, Praha 4-Krc, V podzamci 1/6, nepristupnonenalezeno				144477080	500352470	Host
Zamek Kunratice, Praha 4-Kunratice, Golcova 1/2, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Kunratice, Praha 4-Kunratice, Golcova 1/2, nepristupnonenalezeno				144823190	500122140	Host
Zamek Komorany, Praha 4-Komorany, Na Sabatce 2050/17, pristupno prilezitostnenenalezeno	USER_POI_PRIVATE	Zamek Komorany, Praha 4-Komorany, Na Sabatce 2050/17, pristupno prilezitostnenenalezeno				144041920	499883220	Host
Zamek Zbraslav, Praha 5-Zbraslav, Bartonova 2nenalezeno	USER_POI_PRIVATE	Zamek Zbraslav, Praha 5-Zbraslav, Bartonova 2nenalezeno				143922880	499779840	Host
Zamek Uhrineves, Praha 22-Uhrineves, Pratelstvi 685, pristupno prilezitostnenenalezeno	USER_POI_PRIVATE	Zamek Uhrineves, Praha 22-Uhrineves, Pratelstvi 685, pristupno prilezitostnenenalezeno				146041290	500304290	Host
Zamek Chvaly, Praha 9-Horni Pocernice, Na Chvalske tvrzi 857, denne 9-17+420281860130	USER_POI_PRIVATE	Zamek Chvaly, Praha 9-Horni Pocernice, Na Chvalske tvrzi 857, denne 9-17+420281860130				145955410	501112700	Host
Zamek Vinor, Praha 9-Vinor, Mladoboleslavska 38, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Vinor, Praha 9-Vinor, Mladoboleslavska 38, nepristupnonenalezeno				145790670	501405300	Host
Zamek Cakovice, Praha 9-Cakovice, Cukrovarska 1/23, tvrz prestavena na zameknenalezeno	USER_POI_PRIVATE	Zamek Cakovice, Praha 9-Cakovice, Cukrovarska 1/23, tvrz prestavena na zameknenalezeno				145215870	501519570	Host
Zamek Petrovice u Prahy, Praha 10-Petrovice, Edisonova, nepristupno, tvrz prestavena na zameknenalezeno	USER_POI_PRIVATE	Zamek Petrovice u Prahy, Praha 10-Petrovice, Edisonova, nepristupno, tvrz prestavena na zameknenalezeno				145547340	500335170	Host
Zamek Kolodeje, Praha 9-Kolodeje, Podzamecka 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Kolodeje, Praha 9-Kolodeje, Podzamecka 1, nepristupnonenalezeno				146348890	500606450	Host
Zamek Liboc letohradek Hvezda, Praha 6-Liboc, Obora Hvezda 445, ut-ne 10-17+420220516695	USER_POI_PRIVATE	Zamek Liboc letohradek Hvezda, Praha 6-Liboc, Obora Hvezda 445, ut-ne 10-17+420220516695				143262340	500833880	Host
Zamek Hloubetin, Praha 14-Hloubetin, Hloubetinska 3/13, pristupno prilezitostnenenalezeno	USER_POI_PRIVATE	Zamek Hloubetin, Praha 14-Hloubetin, Hloubetinska 3/13, pristupno prilezitostnenenalezeno				145340220	501031780	Host
Zamek Lochkov, Praha 5-Lochkov, Za ovcinem 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Lochkov, Praha 5-Lochkov, Za ovcinem 1, nepristupnonenalezeno				143532970	500015950	Host
Zamek Suchdol (Brandejsuv statek), Praha 6-Suchdol, Dvorska 1, pristupno prilezitostnenenalezeno	USER_POI_PRIVATE	Zamek Suchdol (Brandejsuv statek), Praha 6-Suchdol, Dvorska 1, pristupno prilezitostnenenalezeno				143716490	501393460	Host
Zamek Jinonice, Praha 5-Jinonice, Reporyjska 1/2, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Jinonice, Praha 5-Jinonice, Reporyjska 1/2, nepristupnonenalezeno				143567280	500530540	Host
Zamek Hlubocepy, Praha 5-Hlubocepy, Hlubocepska 4/35, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Hlubocepy, Praha 5-Hlubocepy, Hlubocepska 4/35, nepristupnonenalezeno				143958820	500409760	Host
Zamek Zviretice, Bakov nad Jizerou-Podhradi, volne pristupno, hrad prestaveny na zamek, dnes zriceninanenalezeno	USER_POI_PRIVATE	Zamek Zviretice, Bakov nad Jizerou-Podhradi, volne pristupno, hrad prestaveny na zamek, dnes zriceninanenalezeno				149158390	504681790	Host
Zamek Vlkava, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Vlkava, nepristupnonenalezeno				149589960	502710450	Host
zamek Studenka, Horni Stakory - Studenka, nepristupno, zricenina zamkunenalezeno	USER_POI_PRIVATE	zamek Studenka, Horni Stakory - Studenka, nepristupno, zricenina zamkunenalezeno				149728100	504544300	Host
Zamek Skalsko, Skalsko 1, pristupno prilezitostnenenalezeno	USER_POI_PRIVATE	Zamek Skalsko, Skalsko 1, pristupno prilezitostnenenalezeno				147629160	504260700	Host
Zamek Manikovice, Manikovice 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Manikovice, Manikovice 1, nepristupnonenalezeno				149284810	505133940	Host
Zamek Okrouhlice, Okrouhlice 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Okrouhlice, Okrouhlice 1, nepristupnonenalezeno				154920740	496295150	Host
